Kimberly R.,"Arlington, VA",9/15/2017,4.0,"This is my father-in-laws favorite place to eat when my in-laws are in town, and quite frankly the best Korean/Asian food we've had so far. This place is always busy even during the non-peak hours. And because it is busy, sometimes things get lost in translation and the waitress forgets or doesn't hear any additional requests. Last time we had to remind our waitress to bring out two more miso soups several times and it didn't come until we were all nearly done with our meals. This might be a small hiccup but other than that service and food has always been great. For newbies: try coming during a non-peak hour time to enjoy what the restaurant has to offer. The restaurant is a little cramped but once you've had the food you wouldn't care how tight the atmosphere is. Faves: Bulgogi, anything from the sushi bar, Galbi, And the scallion egg pancake thing I can't remember the name for"
Nanoreeftank N.,"Fairfax, VA",9/10/2017,4.0,"My friends and I have grown to loves the Korean BBQ and have been trying many different K restaurant around the Annandale area in VA for years. As far as I can remember this restaurant have been here for years going back as far as in the 80s and may even be much longer before I relocated to this area. There are many choice when it come to Korean restaurant but this is come at the top of my list as the first and only choice. The place is open 24 hours and there is always a line and a good 30 mins wait during dinner in Fri and Sat. The price is very reasonable, the foods are in a good portion. I love their many condiments come in many varieties.   Dont worry if you need more because they are always happy to bring more without telling you they will charge extra for more like some other restaurant i have been to. If you like spicy food, go for the yukgaejang is a shred beef soup and broth base. If you have a large group of six or more, go with the yechon special #3 that can serve up to 4 or 6 which include , beefs, chicken, pork, shrimp and a whole lobsters. If you are more on the food adventure side, go for the Heumetgul (cant get the exact spelling) which is a thin slide beef tongue that cook at you table and dip with sea salt oil, this taste just like beef and much leaner in my opinion. Their fish disks are also good choice if you like fish. I usually come here for dinner but their lunch menu and price is also not bad. Ok so let talk about service: some reviewer had wrote they got bad services but i have to beg for you differ here.  Understand many of the servers does not speak perfect English but they are friendly, tentative and know their foods. If you are walking into the restaurant expecting them to make suggestion or recommendation than you are a newbies to K foods and you may find your self lost so i would s suggest check out their online menu rather than asking these servers to tell you. My friend and i love this place, their foods and also had grown to know many of the wonderful ladies that work here and they also remember our usual orders. I would recommend you try it and decide for your self if this can make your food list"
Cristel Y.,"Washington, DC",8/28/2017,3.0,"Food quality = 4Customer service = 2This place is amazing because they are open 24 hours. That means that midnight cravings can always be fulfilled. The restaurant had all types of Korean food. From soups, to kbbq, to my favorite sashimi salad.The only downfall is that you feel extremely rushed to eat. For the many times I've been here, I come out feeling sick. Staff is of course overwhelmed and as a customer you are a recipient of their stress. Service is poor but sadly I still come back! Can never go wrong with a place that serves a wide variety of Korean food."
Aimee L.,"Arlington, VA",8/18/2017,4.0,"Apparently this place is 24/7 so I would definitely come back for late night noms. It's super Korean and has a lot of options, but for the kbbq, you can only pick certain meats because they won't let you change metal plates to cook the meat on...so you can't do beef brisket and pork belly or something so sad. My group got two meats for kbbq, the glass noodles (forgot what they're called), and the fried dumplings. THE DUMPLINGS WERE SO GOOD DEFINITELY GET. Apparently they're known for their dumpling soup so I guess that makes sense. Also had a large variety of sides."
Ha N.,"Charleston, SC","7/10/2017
            





Updated review",4.0,"Back again. We went here this time because my sister wanted bbq and the rest of my family wanted other options. With the expectation of good bbq in mind, I would say it went down a notch for me. I partially expected to be able to cook my own bbq since I've done it before at another restaurant and really liked having control over how my meat is cooked. We weren't given a choice, and while I wasn't surprised that they had a server cook for us, I didn't dig it. My sister was looking forward to trying to cook hers for the first time, too, so she was a bit disappointed. Since we weren't given the choice and the servers actually (with what I sensed was a bit of annoyance) corrected us when we moved the grill (back when we still thought we would get to cook it) to the middle of the table, we were too intimidated to ask for clarification. I didn't dig the service this time. The meats were tender and pretty delicious, but did I think the pricing was good for how much meat we got? Not really. You're better off deciding as a group that you're all going to get bbq and then going to another place that is dedicated to AYCE bbq. For balance between bbq and regular dishes, it's fine here. To get it cooked fresh at your table, you'd have to get multiple things from the bbq menu, so keep that in mind--especially when galbi was $29.99 for about 15 small pieces? I remember us getting 3/person and there were 5 of us. I'm telling you the pricing here so you can decide if that's acceptable, since their website doesn't have pricing and I couldn't find any in the yelp photos. The less expensive bbq dishes hover around $18.99. With the requirement to get at least 2, you do the math.Overall, the food is still delicious, the ban chan was still great and fresh, and the service (aside from the bbq part) was still attentive. My experience this time might have been a 3-3.5, but considering the overall package, I'd still give this place a 4."
Damon B.,"Iowa City, IA",9/13/2017,4.0,"This is a really cool place to go and have some interesting and traditional food. I find that it's best to go with friends as the servings are big and sometimes you have to have a minimum number of orders to get an item. I liked the service style. Get a drink and food order, then leave you alone with your friends and food. You won't have your waitress asking you how the food is every two minutes.I would recommend this place for sure."
Edward H.,"McLean, VA",8/4/2017,5.0,"Been here probably more than 30x in my life. This restaurant has been here for over 10+ years and is one of the older Korean restaurants in Annnandale. It's still around so that's a statement in itself. I'm korean, and a foodie, so that makes me especially a Korean food snob. Yechon is a convenient, 24-hour, slightly above average Korean restaurant that serves a wide variety of dishes. One thing I really like about the restaurant is that it also has great lunch specials for very affordable prices. They also have decent lunch box options which is a nice variety for cheap. To compare it to an American chain, its sorta like the Korean Cheesecake Factory. When you go into a Korean restaurant, you need to know what to order. Certain restaurants are good at certain dishes. Since I've been here so many times, I can let you know some of the better dishes I've had here:Soondoobu - delicious tofu soup. It hurts to say it, but I like this tofu soup better than Tofu lighthouse (Vit Goel). The broth tastes better and the tofu quality is better. Haejang-guk - also known as ""hangover soup"". This is one of the better dishes here, especially since it's also on the lunch special menu for like $7.95. It's a soup that consists of vegetables and beef in a hearty beef broth. Kimchi jiggae- kimchi soup, probably one of my favorite kimchi jiggae's in Annandale. Gopchang-jeongol - beef intestine soup (I know it sounds gross but the broth here is probably the best intestine stew you can find in the Annandale area)I don't usually get any korean BBQ here since there are many restaurants in Annandale that specialize in that so I never understood why anybody would get korean BBQ here of all places."
Soohyun Y.,"Mountain View, CA",5/29/2017,4.0,"This is my favorite Korean restaurant in the Tristate area.Side DishesThey have a good variety of side dishes. Solid kimchi and Korean omelette ().Main DishesThis is a great place for those not familiar with Korean food. You can't go wrong with the grilled meat. I'd like to make some recommendations because it might be difficult for you to order if you're not familiar with the menu. I'll start off with grilled meat and venture into other areas.MEAT (Korean BBQ)1. Samgyeopsal - pork belly2. Chadolbaegi - thinly sliced beef brisket, great as a first round of meat because it cooks really fast3. Yechon Special Jumulryeok - this is my favorite. It's marinated beef that's a bit sweet and moist.BASICSIf you're Korean and you're feeling the usual, the bibimbap and soups are solid.SEAFOODIf you're feeling adventurous and don't mind fishy foods, I recommend the Daegu Maeuntang. It's what Koreans call ""cool/refreshing"" because it's so spicy that it feels like your heart is opening up and you're liberated. This is the best I can translate :PAPPETIZERSSeafood pancake. It's huge, so order it with a big group or expect to take it home.OTHERI haven't had the sushi, but I don't recommend going to a Korean restaurant and ordering sushi.Ambiance/ServiceKorean LOL. Very busy, not amazing service in the American sense, but decent/expected service from a Korean's perspective."
art f.,"Annandale, VA","8/4/2017
            





Updated review",4.0,"Still stand by my 2009 review - very good pan chan, very fresh lettuce served with the bulgogi, a fine bowl of dumpling soup.  Good service but the waitresses are very busy and there's a little language barrier.  But I came away feeling very well fed - and at a very reasonable price. They've added parking but the lot still fills up quickly."
Justin C.,"Washington, DC",8/3/2017,4.0,"The hype is real. I came here full of skepticism because 1) I've been disappointed by way too many Korean places in Annandale that have great Yelp reviews and 2) Yechon's menu has like 9458 items on it so I assumed not everything could be good (although Cheesecake Factory also has 39585 items and most of their dishes are surprisingly tasty...hmmm). Anyways, the wait unfortunately was also very real as mentioned by other people. I guess this is the ""it"" place for Korean food in VA. Wait wasn't terrible though....like 30min?I'm a big fan of hanboks (Korean traditional dresses) so it was cool to see the waitresses dressed in them. The food here is pretty solid. I wouldn't say it's mind-blowing and I didn't experience any foodgasms, but I was extremely satisfied at finally getting really homey Korean food. We got a soup, bibimbop and spicy seafood dish and all were flavorful and tasty. I'm glad I now have a go-to spot for Korean food....when I have some time to spare to wait to get seated."
Star K.,"Washington, DC",5/24/2017,3.0,It's 24/7 so it's convenient for veryyyy late night fixThe meals are alright Service can get slow depending on how many people are working at the kitchen.
PHAN D.,"Fairfax, VA",7/28/2017,2.0,Service is really slipping at this Annandale landmark restaurant. Long waits to put in your order in a half full restaurant. Food is pretty good but not the best in this town. Disappointing overall.
Arjun R.,"Arlington, VA",7/6/2017,4.0,"This is an overwhelming menu if you are into Korean food.  However, some classics like tteobeoki are missing.  But there is a lot to like here like mandu, bibimbap, and all the kbbq standards that you would expect.  There is also a pretty decent sushi selection.  Rolls, nigiri, and sashimi and all of it is tasty but not exceptional.  The lunch box deals seem to be the best value, $10-14 for a sizeable portion of BBQ meat plus a little salad soup sushi and Korean side dishes.  They don't serve these on holidays or weekend.Sushi here is tasty and the bbq is really good as well.  I found the japchae to be kind of bland and the banchan were a little boring.  But this is a solid offering and is basically always open so give it a try!"
